ID,cluster
12243,5
12303,4
12308,5
12316,4
12321,4
12329,4
12360,3
12362,4
12371,1
12389,4
12406,4
12416,4
12454,4
12491,4
12514,4
12583,1
12591,4
12594,4
12615,0
12619,0
12634,4
12697,3
12702,1
12710,3
12730,4
12750,4
12765,3
12777,4
12778,0
12782,2
12814,4
12817,6
12823,4
12837,4
12842,4
12886,0
12905,4
12927,3
12930,4
12931,4
12936,4
12939,4
12955,4
12978,4
12989,0
12999,2
13013,4
13022,4
13025,4
13071,4
13080,4
13102,5
13109,3
13135,2
13142,3
13152,2
13161,6
13173,5
13251,4
13256,4
13271,6
13272,6
13287,0
13299,4
13325,4
13331,0
13334,4
13361,2
13367,5
13401,6
13425,2
13433,4
13440,4
13450,4
13466,0
13473,3
13484,4
13498,5
13510,3
13550,4
13551,0
13593,4
13641,4
13655,4
13680,4
13686,4
13687,4
13695,4
13709,0
13731,5
13734,4
13759,5
13770,3
13786,4
13855,4
13862,4
13879,3
13911,4
13921,3
13930,4
13935,3
13938,4
13952,4
13960,4
14023,4
14054,4
14059,0
14088,4
14153,4
14168,4
14170,4
14177,4
14201,5
14202,4
14212,4
14215,4
14237,2
14279,3
14282,4
14301,4
14323,6
14324,3
14341,4
14351,5
14352,3
14383,2
14384,4
14408,1
14437,5
14440,1
14445,4
14449,4
14457,4
14471,4
14474,4
14479,6
14482,4
14492,4
14498,5
14611,4
14618,2
14645,4
14665,4
14706,4
14708,0
14719,4
14734,4
14740,2
14743,5
14748,1
14751,3
14796,3
14798,2
14853,1
14880,5
14915,4
14917,4
14940,1
14948,6
14951,5
14955,6
14969,4
14970,2
14996,4
15001,4
15015,4
15027,0
15052,4
15071,5
15127,4
15145,5
15154,4
15159,4
15162,3
15202,4
15227,3
15233,4
15251,3
15253,4
15263,5
15299,4
15357,1
15366,4
15405,3
15409,4
15421,0
15451,3
15457,3
15459,5
15478,5
15528,4
15546,5
15551,4
15570,3
15585,4
15601,0
15625,3
15635,4
15655,6
15667,4
15725,2
15731,4
15733,3
15747,6
15749,5
15787,0
15798,4
15819,5
15867,1
15911,4
15923,4
15952,4
15957,4
15966,4
16006,3
16014,4
16017,4
16042,4
16059,4
16089,5
16119,0
16120,5
16159,3
16168,4
16170,4
16173,3
16182,2
16187,4
16212,2
16216,4
16242,4
16274,3
16301,3
16386,3
16396,3
16440,5
16467,4
16470,0
16476,4
16528,4
16535,5
16569,4
16570,4
16630,5
16679,3
16690,0
16708,0
16716,0
16764,4
16775,2
16791,3
16798,4
16817,0
16851,3
16879,1
16917,3
16918,2
16921,0
16957,4
16959,4
16987,4
17008,5
17014,3
17024,3
17035,4
17058,4
17066,4
17072,0
17074,4
17100,5
17129,4
17137,4
17162,4
17174,4
17221,4
17262,0
17295,4
17299,3
17306,0
17377,4
17384,4
17386,0
17416,4
17430,3
17446,4
17465,4
17474,4
17505,4
17514,4
17570,4
17572,3
17577,4
17601,5
17610,0
17616,3
17678,4
17698,4
17702,3
17706,0
17751,4
17770,2
17807,2
17818,3
17844,4
17854,3
17870,4
17906,4
17916,4
17918,4
17919,5
17953,2
17964,2
17965,5
17975,3
17977,3
17978,4
18048,4
18053,4
18062,4
18099,4
18111,5
18159,4
18203,3
18215,4
18218,2
18220,3
18279,6
18330,4
18353,2
18384,4
18399,4
18408,4
18433,4
18450,6
18468,4
18499,0
18506,4
18514,4
18551,3
18560,3
18562,0
18616,4
18673,4
18732,4
18737,1
18752,6
18762,4
18777,3
18778,4
18785,4
18790,4
18800,4
18804,0
18808,5
18809,1
18810,4
18820,0
18921,3
18922,6
18937,5
18942,3
18988,5
19007,4
19020,4
19052,4
19062,3
19078,5
19082,5
19094,0
19114,1
19175,4
19178,4
19192,4
19198,4
19202,4
19203,4
19216,4
19217,4
19223,4
19243,2
19258,4
19270,4
19275,2
19298,5
19302,5
19308,5
19331,0
19337,4
19338,1
19350,4
19359,4
19362,2
19399,5
19416,3
19417,3
19437,4
19447,4
19508,2
19528,3
19540,4
19573,5
19587,4
19593,4
19596,4
19604,5
19650,4
19651,4
19673,4
19726,4
19727,3
19743,4
19746,4
19786,3
19829,1
19895,4
19908,4
19913,4
19917,3
19947,0
19964,1
19978,0
19980,3
20055,4
20059,4
20064,2
20071,4
20072,4
20077,2
20101,5
20105,4
20114,4
20135,6
20156,4
20176,4
20189,4
20220,1
20224,4
20241,0
20252,5
20280,4
20281,4
20351,1
20389,5
20394,2
20398,0
20399,5
20403,4
20453,4
20469,4
20498,5
20534,4
20543,2
20559,4
20565,0
20573,1
20592,4
20601,4
20631,4
20648,1
20682,4
20718,4
20746,4
20754,4
20781,4
20801,0
20824,4
20891,4
20900,4
20907,4
20910,3
20946,3
20960,5
20962,3
21041,6
21049,4
21086,4
21113,3
21125,1
21143,2
21162,4
21175,4
21201,4
21253,6
21279,4
21298,1
21316,4
21331,4
21337,4
21359,1
21383,4
21389,0
21392,4
21393,5
21394,4
21395,0
21398,4
21405,4
21423,4
21439,6
21534,4
21571,4
21628,4
21634,4
21640,0
21643,3
21655,1
21657,4
21665,4
21704,4
21712,5
21717,5
21740,4
21775,4
21794,4
21804,4
21812,4
21817,5
21829,4
21848,3
21850,4
21854,2
21862,4
21868,1
21871,3
21888,0
21889,4
21917,4
21930,4
21940,4
21948,0
21999,4
22005,6
22023,2
22051,2
22060,4
22062,4
22100,1
22111,2
22115,4
22161,5
22167,5
22168,6
22172,4
22176,4
22181,2
22214,6
22220,5
22226,4
22254,4
22269,4
22278,4
22286,4
22298,3
22338,4
22345,5
22355,2
22373,3
22389,4
22390,4
22417,4
22439,4
22443,3
22460,4
22485,2
22504,4
22508,3
22512,4
22527,4
22537,4
22552,4
22561,4
22596,4
22623,4
22637,5
22670,4
22679,4
22696,2
22728,1
22756,4
22819,1
22856,4
22866,4
22874,6
22877,2
22878,0
22880,4
22899,4
22920,2
22937,1
22945,2
22957,4
23000,4
23010,5
23014,0
23139,4
23167,4
23181,3
23194,4
23266,5
23270,3
23295,0
23298,4
23309,4
23317,3
23332,3
23363,5
23385,4
23407,4
23451,4
23453,2
23455,4
23464,4
23465,4
23483,5
23496,4
23499,4
23517,4
23539,4
23550,3
23568,4
23599,3
23600,4
23604,1
23638,5
23646,4
23664,0
23685,1
23688,5
23706,3
23708,4
23709,3
23711,4
23743,1
23770,4
23820,6
23836,3
23850,4
23872,3
23951,0
23959,4
23966,4
23975,5
23989,4
23997,4
24004,4
24030,1
24033,4
24036,2
24052,4
24057,4
24059,6
24076,4
24097,2
24125,3
24136,4
24139,4
24152,5
24161,5
24169,4
24182,3
24202,5
24270,4
24276,4
24338,0
24345,4
24354,4
24358,4
24379,2
24386,4
24403,3
24406,3
24429,4
24431,4
24469,3
24486,3
24501,4
24513,3
24519,4
24536,4
24546,4
24547,5
24562,5
24607,3
24615,4
24618,5
24666,3
24667,3
24698,5
24706,0
24707,4
24738,4
24773,4
24779,4
24780,4
24791,4
24833,4
24835,5
24850,4
24866,5
24889,3
24890,3
24912,4
24940,4
24941,1
24942,4
24943,4
24953,3
24978,0
24990,4
24999,5
25003,4
25037,5
25057,4
25111,1
25112,4
25140,4
25181,4
25221,4
25291,4
25311,3
25324,4
25356,4
25372,4
25424,4
25449,4
25476,4
25526,3
25530,4
25543,3
25555,4
25570,4
25598,4
25609,6
25616,2
25641,5
25662,3
25685,3
25694,4
25707,5
25708,3
25712,3
25753,4
25756,4
25762,4
25780,3
25787,3
25819,4
25823,4
25827,4
25841,4
25865,5
25866,0
25872,5
25883,3
25894,3
25902,4
25912,4
25936,4
25959,4
25993,2
26000,4
26017,4
26056,4
26080,4
26109,4
26146,4
26149,4
26168,0
26187,4
26193,4
26224,5
26248,4
26260,6
26266,0
26280,4
26289,4
26290,6
26293,4
26307,4
26324,2
