ID,shapelet_dist_00_L30,shapelet_dist_01_L30,shapelet_dist_02_L30,shapelet_dist_03_L30,shapelet_dist_04_L7,shapelet_dist_05_L30,shapelet_dist_06_L14,shapelet_dist_07_L14,shapelet_dist_08_L14,shapelet_dist_09_L14,shapelet_dist_10_L14,shapelet_dist_11_L7,shapelet_dist_12_L7,shapelet_dist_13_L7,shapelet_dist_14_L7
23539,2.007576948273969,2.887286583409801,3.5875862780432124,2.9108299361226977,2.64575131106459,4.236211410094486,1.9016412043332995,1.938691483587766,1.6898349103941392,1.9809749695111991,2.0531505218984916,1.3321444825814772,1.266002693697018,1.1516264247059722,0.6813777943255502
95278,3.9765525929658856,4.4634320870083934,4.7712162391859465,4.219468579183577,2.6457513110645903,4.677699125807511,1.9476405867430893,2.2841273587121975,1.9776573024768018,2.0771213824773294,3.001929867491332,1.6599662465025793,1.2088019234314404,1.4275340073305287,1.017611299318475
118619,4.156467128931501,3.9641648200126056,4.25171879344265,4.720744508740863,2.64575131106459,3.709033943852287,2.160432513987619,2.328506557071864,2.1851472102839544,2.028000381579742,1.6185527795960268,1.2628953794657205,1.5610282830608844,1.6445007437145387,1.5630974452079451
895,2.9486473691292567,4.532108339342868,2.9154236793781525,3.4341070852010622,2.64575131106459,4.51654652791862,1.8069215128499254,1.917750042036538,2.163157701761066,2.0623095359487227,2.8575738511542554,1.0926821522951329,0.8876352110768996,1.3461072610147515,0.5983558809048384
196514,3.7869687839904955,1.6195469218057954,3.686359656645675,2.818157799717039,2.64575131106459,3.920267638009705,1.8133518237348698,1.323475816524186,1.7422029803696106,1.9752477475505683,1.969948972100527,1.646237540043204,1.0307992654445333,0.6861009256203137,0.9760143027780228
165257,3.2404700470735244,5.624042283228235,3.4143681490797553,4.118983571076951,2.64575131106459,4.784230156902064,1.877920111401886,1.8642040135732068,2.184402731669691,2.5709131284153464,2.9289786994498703,0.7973560859428298,0.6700551084772794,1.3023404313384028,1.2664215038213438
171323,4.635879831177806,4.26998033072241,4.325342720032635,5.2552769019961545,2.6457513110645903,4.252662930755151,1.693633415011252,2.633964102580337,2.4773186265413707,1.5079096143602062,1.8225741039282999,1.9827898029652395,1.7166089411846543,1.514148761884841,0.5527719230565263
273754,2.671594867081845,4.1932854355078,2.045708728708193,3.2427916368331378,2.6457513110645903,4.198003530275734,1.4175902603405457,1.7654391349738194,2.0576893587955483,2.261171078351621,2.2450558378321217,1.1761525487874018,0.603604533725097,1.7109502814991877,1.4375481134695034
27431,5.0766338586040956,3.5872817190376094,5.25718528750281,5.516389991009179,2.6457513110645903,4.137539248208645,1.93012355156577,3.1285635860443524,1.4233025238479613,2.3080131503548813,1.9521110978476162,1.6615340140950843,1.7632703140066857,1.7158703772574806,1.2452849976963312
255825,4.832864652982644,4.8727427023908065,4.26349258547195,4.673553850770406,2.64575131106459,4.846328995929294,2.32310369043795,2.2297962358694803,2.6500701165613,2.348744593665508,2.57252979196585,1.5956326606810372,0.7603072313226362,1.4010543295737,1.3575543806753605
175729,4.661568803983799,5.293932347097325,4.533767461348157,5.566756235561908,2.64575131106459,5.474743113938868,3.0982637869872462,3.024151398653361,2.7822070697096346,2.0888196323070214,2.5324224170228082,1.1686753147156252,1.1505135442487615,1.379835252823338,0.46728863822295197
21999,3.6132777828591904,4.969940052766861,3.5762734769552504,4.230437913141339,2.6457513110645903,4.688036347770254,2.6416677370631287,1.987967011723417,2.7241120368272242,2.7057267115122463,1.8443653577578132,1.1291197133581778,1.0776531810104182,0.5653614088897109,0.6697278689386957
199782,4.825659231048875,4.620544906131464,4.618678499115218,5.136773462543942,2.64575131106459,5.117918985805534,1.7179084797390214,2.6444866336555064,2.7670974742334997,2.3865851650005565,2.4018885812368738,1.3531591836852712,1.0790714999045758,1.3459264912616256,0.9343919067658186
255469,2.710187773677356,4.910877054715132,2.951224821661437,3.589056486601199,2.64575131106459,4.281597919682967,1.8037319415606248,2.281730608591108,2.5859788048090007,2.263780271543219,2.753223556981923,1.1770436429951845,0.9179721359773784,1.5637303203478237,1.1134023809539133
289652,1.6221433494107125,3.7460436052948816,3.0207375377125647,4.35661011214764,2.64575131106459,3.693948527720505,2.4700603903054614,2.8403339477736185,1.8691314721346102,1.620095313837479,2.4950932448096266,1.305042086299479,0.8674514032035558,0.8575649802972267,0.8360619949265804
97280,4.025814468577921,3.4010198254825728,5.0586925212596405,4.2934363590664955,2.64575131106459,3.8710284100284515,1.6228024675373338,2.2001154495363724,1.8651792998498875,2.2489956232920156,2.6460316000104998,1.5113805623002088,1.053946478875844,1.565995114133756,1.177730865998393
261445,2.3409972250549953,3.456678917450715,2.693943733486724,3.145474812892576,2.64575131106459,3.999472853473307,2.1976795204412505,1.8262511721685024,2.5081199669866523,1.9628787729893309,2.7355095561568277,1.0278057390850643,0.823696567554029,1.459492953225312,1.341526841200055
200033,2.4241461890360556,4.389352417725869,2.898554616512797,2.855147549852876,2.6457513110645903,4.788453551071047,1.8248698933831524,2.0245483583207813,3.0544461125004476,2.189412679796779,3.180204892070927,1.1852127143639501,0.6972793919169858,1.9384931744598464,1.4837042243550427
42207,1.9509371231912298,3.964320241603638,3.968989172852895,2.522267113424753,2.9373740229761033e-16,2.8147814665512083,1.8850588575288907,1.9203609622967897,1.9965988576929117,1.7977889328718586,2.9761802182041968,1.2223286955386428,0.4694921332453539,1.6154223341196996,1.7916265781783969
233918,3.320704147357102,4.854817394312374,3.650651801266809,3.5668182402527178,2.64575131106459,4.537662879772091,1.5635784135855146,2.031686317404745,2.37913713271401,2.4884946764304434,2.806167087601068,0.9786568016814627,0.8094363661185077,0.9669500111011529,0.9832016381345816
228075,5.113075471126885,5.101019802996907,4.609562353261332,5.897811065790606,2.6457513110645903,5.223229194323543,2.84421796345171,2.353461827887898,2.868068144289374,2.3708227058276914,2.1776592244800193,1.2779170144951215,1.3586859139188419,1.2628994355130334,1.1915590650327708
104805,5.866032837077845,6.386134168927075,5.137233734531515,4.767313424938131,2.64575131106459,5.460482968753557,2.9012130765107784,2.684043378604798,3.5629943327198164,3.5973307530089285,3.397800885332484,1.0067453884387627,1.101562806985605,0.9664044145509133,0.8593813930634009
